type,entry_price,stop_loss,take_profit,position_size,initial_tp,entry_time,status,breakeven_applied,tp_extended,trailing_steps,exit_price,exit_time,pnl_points,pnl_currency,exit_reason
SELL,2032.56,2032.06,2022.56,20.0,2022.56,2024-01-08 09:00:00,closed,True,False,0,2022.56,2024-01-08 13:15:00,10.0,200.0,SL/TP
SELL,2031.5,2031.0,2021.5,20.0,2021.5,2024-01-08 09:45:00,closed,True,False,0,2021.5,2024-01-08 13:15:00,10.0,200.0,SL/TP
SELL,2025.65,2030.65,2015.65,20.0,2015.65,2024-01-08 13:00:00,closed,False,False,0,2030.65,2024-01-08 17:15:00,-5.0,-100.0,SL/TP
SELL,2032.53,2032.03,2022.53,20.6,2022.53,2024-01-10 14:30:00,closed,True,False,0,2022.53,2024-01-10 19:45:00,10.0,206.0,SL/TP
BUY,2055.36,2050.36,2065.36,21.01,2065.36,2024-01-12 18:15:00,closed,False,False,0,2050.36,2024-01-12 18:30:00,-5.0,-105.05000000000001,SL/TP
SELL,2036.35,2041.35,2026.35,20.8,2026.35,2024-01-16 14:00:00,closed,False,False,0,2041.35,2024-01-16 15:30:00,-5.0,-104.0,SL/TP
SELL,2041.01,2040.51,2031.01,20.8,2031.01,2024-01-16 12:45:00,closed,True,False,0,2031.01,2024-01-16 19:00:00,10.0,208.0,SL/TP
SELL,2038.09,2037.59,2028.09,20.59,2028.09,2024-01-16 16:30:00,closed,True,False,0,2028.09,2024-01-16 19:00:00,10.0,205.9,SL/TP
SELL,2025.25,2030.25,2015.25,21.42,2015.25,2024-01-16 19:45:00,closed,False,False,0,2030.25,2024-01-17 03:30:00,-5.0,-107.10000000000001,SL/TP
SELL,2028.24,2027.74,2018.24,21.42,2018.24,2024-01-16 22:15:00,closed,True,False,0,2018.24,2024-01-17 08:00:00,10.0,214.20000000000002,SL/TP
SELL,2028.24,2027.74,2018.24,21.42,2018.24,2024-01-16 22:45:00,closed,True,False,0,2018.24,2024-01-17 08:00:00,10.0,214.20000000000002,SL/TP
SELL,2018.21,2023.21,2008.21,22.06,2008.21,2024-01-17 08:00:00,closed,False,False,0,2023.21,2024-01-17 09:30:00,-5.0,-110.3,SL/TP
SELL,2018.19,2023.19,2008.19,22.06,2008.19,2024-01-17 09:00:00,closed,False,False,0,2023.19,2024-01-17 09:30:00,-5.0,-110.3,SL/TP
SELL,2003.56,2008.56,1993.56,21.62,1993.56,2024-01-17 20:00:00,closed,False,False,0,2008.56,2024-01-18 01:00:00,-5.0,-108.10000000000001,SL/TP
SELL,2006.93,2011.93,1996.93,21.62,1996.93,2024-01-17 19:45:00,closed,False,False,0,2011.93,2024-01-18 03:45:00,-5.0,-108.10000000000001,SL/TP
BUY,2035.72,2030.72,2045.72,21.19,2045.72,2024-01-19 15:00:00,closed,False,False,0,2030.72,2024-01-19 16:30:00,-5.0,-105.95,SL/TP
SELL,2021.9,2026.9,2011.9,20.98,2011.9,2024-01-22 09:45:00,closed,False,False,0,2026.9,2024-01-22 14:00:00,-5.0,-104.9,SL/TP
SELL,2019.95,2024.95,2009.95,20.77,2009.95,2024-01-22 21:00:00,closed,False,False,0,2024.95,2024-01-23 05:30:00,-5.0,-103.85,SL/TP
SELL,2020.28,2025.28,2010.28,20.77,2010.28,2024-01-22 23:00:00,closed,False,False,0,2025.28,2024-01-23 05:30:00,-5.0,-103.85,SL/TP
SELL,2021.62,2026.62,2011.62,20.77,2011.62,2024-01-22 23:45:00,closed,False,False,0,2026.62,2024-01-23 05:45:00,-5.0,-103.85,SL/TP
BUY,2029.89,2024.89,2039.89,20.15,2039.89,2024-01-23 07:15:00,closed,False,False,0,2024.89,2024-01-23 12:45:00,-5.0,-100.75,SL/TP
BUY,2032.34,2027.34,2042.34,19.94,2042.34,2024-01-24 11:30:00,closed,False,False,0,2027.34,2024-01-24 16:30:00,-5.0,-99.7,SL/TP
SELL,2029.43,2028.93,2019.43,19.74,2019.43,2024-01-24 16:30:00,closed,True,False,0,2019.43,2024-01-24 17:00:00,10.0,197.39999999999998,SL/TP
SELL,2015.33,2020.33,2005.33,20.14,2005.33,2024-01-25 20:30:00,closed,False,False,0,2020.33,2024-01-25 22:45:00,-5.0,-100.7,SL/TP
SELL,2018.67,2023.67,2008.67,19.94,2008.67,2024-01-26 19:00:00,closed,False,False,0,2023.67,2024-01-29 01:00:00,-5.0,-99.7,SL/TP
SELL,2018.67,2023.67,2008.67,19.94,2008.67,2024-01-26 19:00:00,closed,False,False,0,2023.67,2024-01-29 01:00:00,-5.0,-99.7,SL/TP
BUY,2022.9,2023.4,2032.9,19.79,2032.9,2024-01-29 04:00:00,closed,True,False,0,2032.9,2024-01-29 09:30:00,10.0,197.89999999999998,SL/TP
BUY,2049.71,2044.71,2059.71,20.19,2059.71,2024-01-31 19:45:00,closed,False,False,0,2044.71,2024-01-31 21:00:00,-5.0,-100.95,SL/TP
BUY,2046.31,2041.31,2056.31,20.19,2056.31,2024-01-31 20:45:00,closed,False,False,0,2041.31,2024-01-31 21:00:00,-5.0,-100.95,SL/TP
BUY,2048.53,2049.03,2058.53,19.78,2058.53,2024-02-01 17:00:00,closed,True,False,0,2058.53,2024-02-01 18:00:00,10.0,197.8,SL/TP
BUY,2057.49,2052.49,2067.49,20.18,2067.49,2024-02-01 20:30:00,closed,False,False,0,2052.49,2024-02-02 04:15:00,-5.0,-100.9,SL/TP
SELL,2028.88,2028.38,2018.88,19.98,2018.88,2024-02-05 09:00:00,closed,True,False,0,2018.88,2024-02-05 15:15:00,10.0,199.8,SL/TP
SELL,2027.59,2027.09,2017.59,19.98,2017.59,2024-02-05 13:45:00,closed,True,False,0,2017.59,2024-02-05 15:15:00,10.0,199.8,SL/TP
SELL,2026.34,2025.84,2016.34,19.98,2016.34,2024-02-05 14:00:00,closed,True,False,0,2016.34,2024-02-05 15:45:00,10.0,199.8,SL/TP
SELL,2017.31,2022.31,2007.31,21.18,2007.31,2024-02-05 16:30:00,closed,False,False,0,2022.31,2024-02-05 16:45:00,-5.0,-105.9,SL/TP
SELL,2020.18,2025.18,2010.18,20.96,2010.18,2024-02-05 18:15:00,closed,False,False,0,2025.18,2024-02-05 19:30:00,-5.0,-104.80000000000001,SL/TP
SELL,2020.82,2025.82,2010.82,20.96,2010.82,2024-02-05 18:30:00,closed,False,False,0,2025.82,2024-02-05 19:45:00,-5.0,-104.80000000000001,SL/TP
SELL,2032.43,2037.43,2022.43,20.54,2022.43,2024-02-08 08:00:00,closed,False,False,0,2037.43,2024-02-08 12:15:00,-5.0,-102.69999999999999,SL/TP
SELL,2022.93,2027.93,2012.93,20.34,2012.93,2024-02-08 15:30:00,closed,False,False,0,2027.93,2024-02-08 16:15:00,-5.0,-101.7,SL/TP
SELL,1991.46,1996.46,1981.46,20.14,1981.46,2024-02-14 01:45:00,closed,False,False,0,1996.46,2024-02-15 11:45:00,-5.0,-100.7,SL/TP
SELL,1992.11,1997.11,1982.11,20.14,1982.11,2024-02-14 01:00:00,closed,False,False,0,1997.11,2024-02-15 12:30:00,-5.0,-100.7,SL/TP
SELL,1992.67,1997.67,1982.67,20.14,1982.67,2024-02-13 23:30:00,closed,False,False,0,1997.67,2024-02-15 12:45:00,-5.0,-100.7,SL/TP
BUY,2027.89,2022.89,2037.89,19.53,2037.89,2024-02-20 15:00:00,closed,False,False,0,2022.89,2024-02-21 02:00:00,-5.0,-97.65,SL/TP
BUY,2028.8,2023.8,2038.8,19.34,2038.8,2024-02-21 05:00:00,closed,False,False,0,2023.8,2024-02-21 18:00:00,-5.0,-96.7,SL/TP
BUY,2027.58,2022.58,2037.58,19.53,2037.58,2024-02-20 18:15:00,closed,False,False,0,2022.58,2024-02-21 19:00:00,-5.0,-97.65,SL/TP
BUY,2031.33,2026.33,2041.33,18.95,2041.33,2024-02-22 09:45:00,closed,False,False,0,2026.33,2024-02-22 15:15:00,-5.0,-94.75,SL/TP
SELL,2018.79,2023.79,2008.79,18.76,2008.79,2024-02-23 11:00:00,closed,False,False,0,2023.79,2024-02-23 13:15:00,-5.0,-93.80000000000001,SL/TP
BUY,2034.72,2029.72,2044.72,18.57,2044.72,2024-02-26 01:15:00,closed,False,False,0,2029.72,2024-02-26 16:00:00,-5.0,-92.85,SL/TP
BUY,2034.81,2029.81,2044.81,18.38,2044.81,2024-02-27 09:00:00,closed,False,False,0,2029.81,2024-02-27 19:30:00,-5.0,-91.89999999999999,SL/TP
BUY,2033.39,2028.39,2043.39,18.38,2043.39,2024-02-27 05:45:00,closed,False,False,0,2028.39,2024-02-28 09:15:00,-5.0,-91.89999999999999,SL/TP
BUY,2034.89,2029.89,2044.89,18.02,2044.89,2024-02-29 03:00:00,closed,False,False,0,2029.89,2024-02-29 13:30:00,-5.0,-90.1,SL/TP
BUY,2033.15,2028.15,2043.15,18.02,2043.15,2024-02-28 19:30:00,closed,False,False,0,2028.15,2024-02-29 14:15:00,-5.0,-90.1,SL/TP
BUY,2045.76,2040.76,2055.76,17.66,2055.76,2024-02-29 19:45:00,closed,False,False,0,2040.76,2024-03-01 10:30:00,-5.0,-88.3,SL/TP
BUY,2044.8,2039.8,2054.8,17.66,2054.8,2024-02-29 22:00:00,closed,False,False,0,2039.8,2024-03-01 10:30:00,-5.0,-88.3,SL/TP
BUY,2053.84,2048.84,2063.84,17.3,2063.84,2024-03-01 14:15:00,closed,False,False,0,2048.84,2024-03-01 16:45:00,-5.0,-86.5,SL/TP
BUY,2085.37,2080.37,2095.37,17.13,2095.37,2024-03-01 20:00:00,closed,False,False,0,2080.37,2024-03-04 03:30:00,-5.0,-85.64999999999999,SL/TP
BUY,2085.37,2080.37,2095.37,17.13,2095.37,2024-03-01 20:00:00,closed,False,False,0,2080.37,2024-03-04 03:30:00,-5.0,-85.64999999999999,SL/TP
BUY,2085.07,2080.07,2095.07,17.13,2095.07,2024-03-04 01:00:00,closed,False,False,0,2080.07,2024-03-04 03:30:00,-5.0,-85.64999999999999,SL/TP
BUY,2085.85,2086.35,2095.85,16.78,2095.85,2024-03-04 11:30:00,closed,True,False,0,2095.85,2024-03-04 16:15:00,10.0,167.8,SL/TP
BUY,2099.18,2099.68,2109.18,17.12,2109.18,2024-03-04 17:00:00,closed,True,False,0,2109.18,2024-03-04 17:45:00,10.0,171.20000000000002,SL/TP
BUY,2117.38,2112.38,2127.38,17.46,2127.38,2024-03-04 18:30:00,closed,False,False,0,2112.38,2024-03-05 03:15:00,-5.0,-87.30000000000001,SL/TP
BUY,2117.27,2112.27,2127.27,17.46,2127.27,2024-03-04 22:15:00,closed,False,False,0,2112.27,2024-03-05 03:15:00,-5.0,-87.30000000000001,SL/TP
BUY,2115.38,2115.88,2125.38,17.46,2125.38,2024-03-04 20:45:00,closed,True,False,0,2125.38,2024-03-05 12:00:00,10.0,174.60000000000002,SL/TP
BUY,2126.77,2121.77,2136.77,17.46,2136.77,2024-03-05 13:00:00,closed,False,False,0,2121.77,2024-03-05 14:15:00,-5.0,-87.30000000000001,SL/TP
BUY,2117.81,2118.31,2127.81,17.11,2127.81,2024-03-05 07:30:00,closed,True,False,0,2127.81,2024-03-05 15:00:00,10.0,171.1,SL/TP
BUY,2124.55,2125.05,2134.55,17.46,2134.55,2024-03-05 13:45:00,closed,True,False,0,2125.05,2024-03-05 15:30:00,0.5,8.73,SL/TP
BUY,2135.04,2130.04,2145.04,17.65,2145.04,2024-03-05 17:00:00,closed,False,False,0,2130.04,2024-03-05 17:15:00,-5.0,-88.25,SL/TP
BUY,2130.85,2125.85,2140.85,17.47,2140.85,2024-03-05 19:45:00,closed,False,False,0,2125.85,2024-03-06 03:15:00,-5.0,-87.35,SL/TP
BUY,2148.07,2143.07,2158.07,17.3,2158.07,2024-03-06 18:45:00,closed,False,False,0,2143.07,2024-03-06 19:30:00,-5.0,-86.5,SL/TP
BUY,2140.16,2140.66,2150.16,17.3,2150.16,2024-03-06 17:30:00,closed,True,False,0,2150.16,2024-03-06 20:15:00,10.0,173.0,SL/TP
BUY,2145.07,2140.07,2155.07,17.3,2155.07,2024-03-06 18:30:00,closed,False,False,0,2140.07,2024-03-06 21:30:00,-5.0,-86.5,SL/TP
BUY,2144.69,2139.69,2154.69,17.12,2154.69,2024-03-06 19:45:00,closed,False,False,0,2139.69,2024-03-06 21:30:00,-5.0,-85.60000000000001,SL/TP
BUY,2155.33,2150.33,2165.33,17.12,2165.33,2024-03-07 08:45:00,closed,False,False,0,2150.33,2024-03-07 16:30:00,-5.0,-85.60000000000001,SL/TP
BUY,2156.11,2151.11,2166.11,17.12,2166.11,2024-03-07 09:45:00,closed,False,False,0,2151.11,2024-03-07 16:30:00,-5.0,-85.60000000000001,SL/TP
BUY,2169.0,2164.0,2179.0,16.78,2179.0,2024-03-08 11:45:00,closed,False,False,0,2164.0,2024-03-08 15:15:00,-5.0,-83.9,SL/TP
BUY,2170.0,2170.5,2180.0,16.61,2180.0,2024-03-08 17:15:00,closed,True,False,0,2180.0,2024-03-08 18:45:00,10.0,166.1,SL/TP
BUY,2184.94,2179.94,2194.94,16.95,2194.94,2024-03-08 19:45:00,closed,False,False,0,2179.94,2024-03-08 20:00:00,-5.0,-84.75,SL/TP
BUY,2174.58,2169.58,2184.58,16.78,2184.58,2024-03-13 21:15:00,closed,False,False,0,2169.58,2024-03-14 07:45:00,-5.0,-83.9,SL/TP
BUY,2174.52,2169.52,2184.52,16.78,2184.52,2024-03-13 22:15:00,closed,False,False,0,2169.52,2024-03-14 07:45:00,-5.0,-83.9,SL/TP
BUY,2172.47,2167.47,2182.47,16.78,2182.47,2024-03-13 22:00:00,closed,False,False,0,2167.47,2024-03-14 08:45:00,-5.0,-83.9,SL/TP
BUY,2171.85,2166.85,2181.85,16.27,2181.85,2024-03-15 11:45:00,closed,False,False,0,2166.85,2024-03-15 13:00:00,-5.0,-81.35,SL/TP
BUY,2171.14,2166.14,2181.14,16.27,2181.14,2024-03-15 12:15:00,closed,False,False,0,2166.14,2024-03-15 14:00:00,-5.0,-81.35,SL/TP
BUY,2161.03,2156.03,2171.03,15.95,2171.03,2024-03-18 13:45:00,closed,False,False,0,2156.03,2024-03-18 15:15:00,-5.0,-79.75,SL/TP
BUY,2160.99,2155.99,2170.99,15.79,2170.99,2024-03-18 17:15:00,closed,False,False,0,2155.99,2024-03-18 18:00:00,-5.0,-78.94999999999999,SL/TP
BUY,2188.07,2183.07,2198.07,15.63,2198.07,2024-03-20 21:15:00,closed,False,False,0,2183.07,2024-03-20 21:30:00,-5.0,-78.15,SL/TP
