type,entry_price,stop_loss,take_profit,position_size,initial_tp,atr_at_entry,entry_time,status,breakeven_applied,tp_extended,trailing_steps,sl_reason,trade_id,original_position_size,tier,partial_closes,peak_profit_runner,dd_multiplier,consecutive_losses_at_entry,circuit_breaker_active,session_name,session_multiplier,exit_price,exit_time,pnl,pnl_currency,exit_reason
BUY,3870.984,3866.4037265306124,3890.5545469387757,0.03,3890.5545469387757,,2025-10-01 07:45:00,closed,False,False,0,Initial,a5b58bbc-9ce7-45b5-8b54-b55e1320a8fc,0.03,0,[],0.0,1.0,0,False,ADX_Override (91.4),1.0,3874.729,2025-10-01 07:50:00,3.644999999999982,10.934999999999945,Candlestick Reversal
BUY,3870.206,3863.7155283193742,3883.186943361252,0.02,3883.186943361252,,2025-10-01 17:19:00,closed,False,False,0,Initial,4031f761-dbcd-4d3e-b8e1-96d20ecc393e,0.02,0,[],0.0,1.0,0,False,ADX_Override (56.0),1.0,3864.217,2025-10-01 17:44:00,-6.088999999999942,-12.177999999999884,Candlestick Reversal
SELL,3862.834,3865.834,3861.7527881948217,0.05,3861.7527881948217,,2025-10-02 00:03:00,closed,False,False,0,Initial,de295253-3eca-4a46-a5e8-f7c66e750cf3,0.05,0,[],0.0,1.0,0,False,ADX_Override (77.3),1.0,3861.7527881948217,2025-10-02 00:05:00,0.9812118051781908,4.906059025890955,Take Profit
BUY,3882.665,3879.665,3886.1575591573906,0.04,3886.1575591573906,,2025-10-02 12:57:00,closed,False,False,0,Initial,c29fc18b-d65d-4d2a-b572-4def14bdc91f,0.04,0,[],0.0,1.0,0,False,Standard_London_Mid,0.8,3886.1575591573906,2025-10-02 13:00:00,3.3925591573906786,13.570236629562714,Take Profit
BUY,3859.447,3855.8865639091746,3870.6328721816512,0.04,3870.6328721816512,,2025-10-03 06:35:00,closed,False,False,0,Initial,58850b43-bc4a-44ee-a46e-fe3aff520e0d,0.04,0,[],0.0,1.0,0,False,ADX_Override (38.7),1.0,3859.787,2025-10-03 06:37:00,0.23999999999978172,0.9599999999991269,Candlestick Reversal
BUY,3862.542,3859.542,3865.025574697404,0.05,3865.025574697404,,2025-10-03 08:25:00,closed,False,False,0,Initial,6d7bf789-f7a1-485f-aa03-0ab1c70c1964,0.05,0,[],0.0,1.0,0,False,ADX_Override (79.6),1.0,3861.61,2025-10-03 08:26:00,-1.031999999999698,-5.159999999998491,Candlestick Reversal
BUY,3863.114,3860.114,3868.9936032069895,0.05,3868.9936032069895,,2025-10-03 10:36:00,closed,False,False,0,Initial,7e35a697-5b8c-4fd8-9950-4f406ef2cd3f,0.05,0,[],0.0,1.0,0,False,ADX_Override (49.7),1.0,3864.453,2025-10-03 11:07:00,1.2390000000000327,6.195000000000165,Candlestick Reversal
BUY,3921.889,3915.0315146464604,3935.4659707070787,0.02,3935.4659707070787,,2025-10-06 02:25:00,closed,False,False,0,Initial,94caf80a-e5bf-4c44-b122-3613caef0d29,0.02,0,[],0.0,1.0,0,False,ADX_Override (99.4),1.0,3922.079,2025-10-06 02:26:00,0.09000000000014552,0.18000000000029104,Candlestick Reversal
SELL,3931.602,3934.602,3916.199083355357,0.05,3916.199083355357,,2025-10-06 06:00:00,closed,False,False,0,Initial,3d5fe6ac-1966-4f6f-8be0-b9be504e702a,0.05,0,[],0.0,1.0,0,False,ADX_Override (80.3),1.0,3931.669,2025-10-06 06:02:00,-0.16699999999991633,-0.8349999999995817,Candlestick Reversal
BUY,3931.549,3928.549,3933.614277639496,0.05,3933.614277639496,,2025-10-06 07:25:00,closed,False,False,0,Initial,5a225248-b37c-4f02-9cd8-7f16798e4fcd,0.05,0,[],0.0,1.0,0,False,ADX_Override (68.7),1.0,3933.614277639496,2025-10-06 07:32:00,1.96527763949598,9.826388197479902,Take Profit
SELL,3932.314,3942.550535210722,3914.501929578556,0.02,3914.501929578556,,2025-10-06 13:25:00,closed,False,False,0,Initial,b283f4ba-f229-4305-ab0f-fed4a1bb0dbe,0.02,0,[],0.0,1.0,0,False,ADX_Override (55.2),1.0,3930.345,2025-10-06 13:33:00,1.8690000000001419,3.738000000000284,Candlestick Reversal
BUY,3930.402,3935.472088232601,3943.7158235347974,0.03,3943.7158235347974,,2025-10-06 13:35:00,closed,False,False,0,Initial,3f58ea9f-bdcf-47ac-9556-f25b803b67ba,0.03,0,[],0.0,1.0,0,False,ADX_Override (70.8),1.0,3935.472088232601,2025-10-06 13:36:00,4.970088232601029,14.910264697803086,Stop Loss
BUY,3958.825,3955.825,3963.7079637659335,0.05,3963.7079637659335,,2025-10-06 20:00:00,closed,False,False,0,Initial,ec1562e0-580c-42c2-a568-f00241d7d1c4,0.05,0,[],0.0,1.0,0,False,ADX_Override (84.0),1.0,3959.931,2025-10-06 20:08:00,1.0060000000003129,5.030000000001564,Candlestick Reversal
BUY,3958.44,3955.44,3964.665972361458,0.06,3964.665972361458,,2025-10-07 10:15:00,closed,False,False,0,Initial,2a735977-8a3e-4937-9b06-2d10ed470689,0.06,0,[],0.0,1.0,0,False,ADX_Override (74.3),1.0,3958.385,2025-10-07 10:48:00,-0.15499999999974534,-0.9299999999984719,Candlestick Reversal
BUY,3960.112,3957.112,3967.9286204804516,0.06,3967.9286204804516,,2025-10-07 11:10:00,closed,False,False,0,Initial,ae5fa4aa-05c7-46f5-a8ac-db61d8bcb78b,0.06,0,[],0.0,1.0,0,False,ADX_Override (89.6),1.0,3959.705,2025-10-07 11:11:00,-0.5070000000000618,-3.0420000000003706,Candlestick Reversal
BUY,3958.321,3955.321,3971.485968589901,0.02,3971.485968589901,,2025-10-07 11:35:00,closed,False,False,0,Initial,8b0936a9-866e-4a2d-9614-7da2a4e4db64,0.05,0,"[{'tier': 'Tier 1 (at Initial TP)', 'size': 0.02, 'price': 3964.321}]",0.0,1.0,0,False,ADX_Override (80.1),1.0,3964.321,2025-10-07 11:44:00,5.900000000000091,11.800000000000182,Partial Close Tier 1 (at Initial TP)
BUY,3958.321,3958.821,3964.321,0.030000000000000002,3971.485968589901,,2025-10-07 11:35:00,closed,False,False,0,BE after Tier 1 (at Initial TP),8b0936a9-866e-4a2d-9614-7da2a4e4db64,0.05,1,"[{'tier': 'Tier 1 (at Initial TP)', 'size': 0.02, 'price': 3964.321}]",0.0,1.0,0,False,ADX_Override (80.1),1.0,3964.321,2025-10-07 11:44:00,5.900000000000091,17.700000000000273,Take Profit
BUY,3975.103,3972.103,3982.9309473336853,0.06,3982.9309473336853,,2025-10-07 14:25:00,closed,False,False,0,Initial,09bff5d5-5d62-48df-a8d0-92d7af07fcf8,0.06,0,[],0.0,1.0,0,False,ADX_Override (93.3),1.0,3973.969,2025-10-07 14:26:00,-1.2339999999999236,-7.403999999999542,Candlestick Reversal
SELL,3972.322,3975.322,3948.043964127834,0.02,3948.043964127834,,2025-10-07 16:10:00,closed,False,False,0,Initial,cbeeb12d-eab7-43b3-8f9b-956dcc6af7cc,0.06,0,"[{'tier': 'Tier 1 (at Initial TP)', 'size': 0.02, 'price': 3966.322}]",0.0,1.0,0,False,ADX_Override (50.1),1.0,3966.322,2025-10-07 16:13:00,5.900000000000091,11.800000000000182,Partial Close Tier 1 (at Initial TP)
SELL,3972.322,3971.822,3966.322,0.039999999999999994,3948.043964127834,,2025-10-07 16:10:00,closed,False,False,0,BE after Tier 1 (at Initial TP),cbeeb12d-eab7-43b3-8f9b-956dcc6af7cc,0.06,1,"[{'tier': 'Tier 1 (at Initial TP)', 'size': 0.02, 'price': 3966.322}]",0.0,1.0,0,False,ADX_Override (50.1),1.0,3966.322,2025-10-07 16:13:00,5.900000000000091,23.60000000000036,Take Profit
BUY,3976.224,3973.224,3982.084609813483,0.02,3982.084609813483,,2025-10-07 16:55:00,closed,False,False,0,Initial,6419fd68-d392-47d0-8784-260f06cc0c1a,0.06,0,"[{'tier': 'Tier 1 (at Initial TP)', 'size': 0.02, 'price': 3982.224}]",0.0,1.0,0,False,ADX_Override (76.3),1.0,3982.224,2025-10-07 17:09:00,5.900000000000091,11.800000000000182,Partial Close Tier 1 (at Initial TP)
BUY,3976.224,3976.724,3982.224,0.039999999999999994,3982.084609813483,,2025-10-07 16:55:00,closed,False,False,0,BE after Tier 1 (at Initial TP),6419fd68-d392-47d0-8784-260f06cc0c1a,0.06,1,"[{'tier': 'Tier 1 (at Initial TP)', 'size': 0.02, 'price': 3982.224}]",0.0,1.0,0,False,ADX_Override (76.3),1.0,3982.224,2025-10-07 17:09:00,5.900000000000091,23.60000000000036,Take Profit
BUY,3980.344,3977.344,3987.0799407277177,0.06,3987.0799407277177,,2025-10-07 18:40:00,closed,False,False,0,Initial,e53c03aa-5bd6-453d-8ac2-75060aa5e528,0.06,0,[],0.0,1.0,0,False,ADX_Override (47.7),1.0,3981.099,2025-10-07 18:52:00,0.6550000000002001,3.9300000000012005,Candlestick Reversal
BUY,3988.328,3985.328,3993.3848592411596,0.06,3993.3848592411596,,2025-10-07 22:50:00,closed,False,False,0,Initial,4ace7410-372d-47ef-96b8-cfef730ce691,0.06,0,[],0.0,1.0,0,False,ADX_Override (86.0),1.0,3988.452,2025-10-07 22:51:00,0.02400000000034197,0.14400000000205182,Candlestick Reversal
BUY,3995.871,3992.322274411369,4002.9894511772623,0.05,4002.9894511772623,,2025-10-08 00:48:00,closed,False,False,0,Initial,162684b4-7b9b-40df-bb3d-31e61101beab,0.05,0,[],0.0,1.0,0,False,ADX_Override (81.7),1.0,3992.322274411369,2025-10-08 00:58:00,-3.648725588630896,-18.24362794315448,Stop Loss
BUY,4041.614,4038.614,4053.780820759324,0.06,4053.780820759324,,2025-10-08 14:25:00,closed,False,False,0,Initial,67d8d23f-f107-4015-9f7f-1736de2280b4,0.06,0,[],0.0,1.0,0,False,ADX_Override (69.7),1.0,4044.838,2025-10-08 14:27:00,3.124000000000251,18.744000000001506,Candlestick Reversal
BUY,4045.234,4042.234,4055.5356475709164,0.06,4055.5356475709164,,2025-10-08 15:35:00,closed,False,False,0,Initial,12c05496-7761-4883-a5ca-38eca7f3447f,0.06,0,[],0.0,1.0,0,False,ADX_Override (60.7),1.0,4047.164,2025-10-08 15:39:00,1.830000000000382,10.980000000002292,Candlestick Reversal
SELL,4052.855,4055.855,4002.167711937754,0.02,4002.167711937754,,2025-10-08 19:05:00,closed,False,False,0,Initial,dadc0304-62db-429b-81cc-c058839d15d5,0.07,0,"[{'tier': 'Tier 1 (at Initial TP)', 'size': 0.02, 'price': 4046.855}]",0.0,1.0,0,False,ADX_Override (54.6),1.0,4046.855,2025-10-08 19:06:00,5.900000000000091,11.800000000000182,Partial Close Tier 1 (at Initial TP)
SELL,4052.855,4052.355,4046.855,0.05,4002.167711937754,,2025-10-08 19:05:00,closed,False,False,0,BE after Tier 1 (at Initial TP),dadc0304-62db-429b-81cc-c058839d15d5,0.07,1,"[{'tier': 'Tier 1 (at Initial TP)', 'size': 0.02, 'price': 4046.855}]",0.0,1.0,0,False,ADX_Override (54.6),1.0,4052.355,2025-10-08 19:06:00,0.40000000000009095,2.0000000000004547,BE after Tier 1 (at Initial TP)
SELL,4044.149,4047.149,4028.535226004183,0.07,4028.535226004183,,2025-10-08 20:06:00,closed,False,False,0,Initial,5f6b8925-d587-4f1f-bd5d-7319abf1af35,0.07,0,[],0.0,1.0,0,False,ADX_Override (43.2),1.0,4042.075,2025-10-08 20:15:00,1.97400000000016,13.81800000000112,Candlestick Reversal
SELL,4044.127,4047.127,4038.7686357189427,0.07,4038.7686357189427,,2025-10-08 20:20:00,closed,False,False,0,Initial,dbbae320-3938-4e1f-84e3-3bd3d28576bf,0.07,0,[],0.0,1.0,0,False,ADX_Override (47.8),1.0,4041.245,2025-10-08 20:26:00,2.782000000000153,19.47400000000107,Candlestick Reversal
BUY,4037.652,4034.652,4044.584246150417,0.07,4044.584246150417,,2025-10-09 05:21:00,closed,False,False,0,Initial,d93046b9-3958-4a88-bb02-fb5cb1214f4a,0.07,0,[],0.0,1.0,0,False,ADX_Override (51.4),1.0,4037.756,2025-10-09 05:27:00,0.0039999999999054126,0.02799999999933789,Candlestick Reversal
BUY,4037.414,4034.414,4048.241580457345,0.07,4048.241580457345,,2025-10-09 09:10:00,closed,False,False,0,Initial,b4375dd0-40a5-40af-895b-dc2059ae5e58,0.07,0,[],0.0,1.0,0,False,ADX_Override (99.6),1.0,4039.144,2025-10-09 09:24:00,1.6299999999996544,11.409999999997583,Candlestick Reversal
SELL,4026.767,4022.6141541559914,4019.418691688017,0.05,4019.418691688017,,2025-10-09 15:20:00,closed,False,False,0,Initial,caf8db17-edd4-4cb6-b64b-274bd4f85dc1,0.05,0,[],0.0,1.0,0,False,ADX_Override (55.1),1.0,4022.6141541559914,2025-10-09 15:21:00,4.052845844008516,20.26422922004258,Stop Loss
SELL,4019.531,4022.531,4016.2839918231684,0.07,4016.2839918231684,,2025-10-09 16:10:00,closed,False,False,0,Initial,e80d6347-41bb-41bc-a12e-dac67bdd309c,0.07,0,[],0.0,1.0,0,False,ADX_Override (69.9),1.0,4016.2839918231684,2025-10-09 16:12:00,3.147008176831605,22.029057237821238,Take Profit
SELL,4015.532,4018.532,4014.5803942024304,0.08,4014.5803942024304,,2025-10-09 16:16:00,closed,False,False,0,Initial,14f9c9ba-78b9-4bb8-a1be-fda1575750f6,0.08,0,[],0.0,1.0,0,False,ADX_Override (64.6),1.0,4016.891,2025-10-09 16:20:00,-1.4589999999998327,-11.671999999998661,Candlestick Reversal
SELL,3973.423,3976.423,3965.975665473459,0.07,3965.975665473459,,2025-10-09 22:25:00,closed,False,False,0,Initial,06c7f357-e9aa-4570-8042-92a08e2782b4,0.07,0,[],0.0,1.0,0,False,ADX_Override (96.1),1.0,3971.619,2025-10-09 22:27:00,1.7039999999997235,11.927999999998065,Candlestick Reversal
BUY,3969.898,3966.898,3985.9484084635187,0.02,3985.9484084635187,,2025-10-10 05:40:00,closed,False,False,0,Initial,c05e9fad-87ac-48bb-800a-a9d737d3e023,0.08,0,"[{'tier': 'Tier 1 (at Initial TP)', 'size': 0.02, 'price': 3975.898}]",0.0,1.0,0,False,ADX_Override (67.3),1.0,3975.898,2025-10-10 05:46:00,5.900000000000091,11.800000000000182,Partial Close Tier 1 (at Initial TP)
BUY,3969.898,3970.398,3975.898,0.06,3985.9484084635187,,2025-10-10 05:40:00,closed,False,False,0,BE after Tier 1 (at Initial TP),c05e9fad-87ac-48bb-800a-a9d737d3e023,0.08,1,"[{'tier': 'Tier 1 (at Initial TP)', 'size': 0.02, 'price': 3975.898}]",0.0,1.0,0,False,ADX_Override (67.3),1.0,3975.898,2025-10-10 05:46:00,5.900000000000091,35.400000000000546,Take Profit
BUY,3997.02,3992.07005741523,4006.9198851695396,0.05,4006.9198851695396,,2025-10-10 11:04:00,closed,False,False,0,Initial,edce8fae-92eb-4aa3-95ed-3b7879ed1b77,0.05,0,[],0.0,1.0,0,False,ADX_Override (69.5),1.0,3996.954,2025-10-10 11:24:00,-0.1659999999997126,-0.829999999998563,Candlestick Reversal
BUY,4046.092,4043.092,4049.19346677714,0.08,4049.19346677714,,2025-10-13 02:58:00,closed,False,False,0,Initial,1583826d-a9c4-4c15-b71f-443201b08b0e,0.08,0,[],0.0,1.0,0,False,ADX_Override (89.2),1.0,4049.19346677714,2025-10-13 03:02:00,3.0014667771401946,24.011734217121557,Take Profit
BUY,4049.874,4046.874,4057.4945749224235,0.08,4057.4945749224235,,2025-10-13 03:25:00,closed,False,False,0,Initial,817829b9-b52a-4da7-b26a-fd4f5e21c258,0.08,0,[],0.0,1.0,0,False,ADX_Override (66.7),1.0,4051.751,2025-10-13 03:29:00,1.7770000000004984,14.216000000003987,Candlestick Reversal
BUY,4057.926,4054.926,4074.6604214028175,0.08,4074.6604214028175,,2025-10-13 05:00:00,closed,False,False,0,Initial,86ce3ca5-540b-4347-9e25-97dcc6d40d07,0.08,0,[],0.0,1.0,0,False,ADX_Override (78.2),1.0,4057.732,2025-10-13 05:02:00,-0.29399999999986903,-2.3519999999989523,Candlestick Reversal
BUY,4065.346,4062.346,4075.4519630756377,0.08,4075.4519630756377,,2025-10-13 06:17:00,closed,False,False,0,Initial,029d60e0-390b-4dad-9c1c-7891c0d933d0,0.08,0,[],0.0,1.0,0,False,ADX_Override (63.4),1.0,4070.898,2025-10-13 06:23:00,5.4520000000002256,43.616000000001804,Candlestick Reversal
BUY,4098.332,4093.75614357779,4110.381712844419,0.06,4110.381712844419,,2025-10-13 15:01:00,closed,False,False,0,Initial,96137779-bed5-484a-9a40-11b00e4ffa44,0.06,0,[],0.0,1.0,0,False,ADX_Override (83.6),1.0,4097.767,2025-10-13 15:05:00,-0.6650000000008731,-3.9900000000052387,Candlestick Reversal
SELL,4104.502,4107.502,4101.690910555632,0.09,4101.690910555632,,2025-10-13 18:38:00,closed,False,False,0,Initial,72cc903c-6531-4f30-a774-c43ac4ee90a1,0.09,0,[],0.0,1.0,0,False,ADX_Override (38.6),1.0,4101.690910555632,2025-10-13 18:43:00,2.7110894443676443,24.399804999308795,Take Profit
BUY,4115.855,4112.584348716019,4120.32030256796,0.08,4120.32030256796,,2025-10-13 23:26:00,closed,False,False,0,Initial,799566b8-33eb-4b83-b334-06e2336d2a00,0.08,0,[],0.0,1.0,0,False,ADX_Override (57.2),1.0,4115.099,2025-10-13 23:31:00,-0.8559999999997672,-6.847999999998137,Candlestick Reversal
BUY,4127.658,4124.506659374913,4144.472681250174,0.03,4144.472681250174,,2025-10-14 01:00:00,closed,False,False,0,Initial,47468880-4aa1-44f8-8ecb-693a66f08ce1,0.09,0,"[{'tier': 'Tier 1 (at Initial TP)', 'size': 0.03, 'price': 4133.960681250174}]",0.0,1.0,0,False,ADX_Override (73.0),1.0,4133.960681250174,2025-10-14 01:11:00,6.202681250173555,18.608043750520665,Partial Close Tier 1 (at Initial TP)
BUY,4127.658,4128.158,4133.960681250174,0.06,4144.472681250174,,2025-10-14 01:00:00,closed,False,False,0,BE after Tier 1 (at Initial TP),47468880-4aa1-44f8-8ecb-693a66f08ce1,0.09,1,"[{'tier': 'Tier 1 (at Initial TP)', 'size': 0.03, 'price': 4133.960681250174}]",0.0,1.0,0,False,ADX_Override (73.0),1.0,4133.960681250174,2025-10-14 01:11:00,6.202681250173555,37.21608750104133,Take Profit
BUY,4140.627,4134.5498316172,4151.989336765601,0.05,4151.989336765601,,2025-10-14 02:02:00,closed,False,False,0,Initial,61c9c72d-cb65-4b24-a4db-a065fc06b396,0.05,0,[],0.0,1.0,0,False,ADX_Override (45.7),1.0,4140.363,2025-10-14 02:04:00,-0.3640000000004875,-1.8200000000024374,Candlestick Reversal
BUY,4136.94,4133.312875840707,4157.832248318585,0.08,4157.832248318585,,2025-10-14 08:50:00,closed,False,False,0,Initial,952beb4d-18c9-4704-a0ae-12f193420e14,0.08,0,[],0.0,1.0,0,False,ADX_Override (58.4),1.0,4141.297,2025-10-14 08:53:00,4.256999999999607,34.05599999999686,Candlestick Reversal
BUY,4139.543,4135.628993811121,4151.712012377757,0.06,4151.712012377757,,2025-10-14 09:10:00,closed,False,False,0,Initial,a62e3d82-acf7-42ed-be49-cd7781e58ac8,0.06,0,[],0.0,1.0,0,False,Standard_London_Mid,0.8,4139.813,2025-10-14 09:35:00,0.17000000000007276,1.0200000000004366,Candlestick Reversal
SELL,4109.931,4119.6613949307675,4077.7832101384656,0.03,4077.7832101384656,,2025-10-14 13:21:00,closed,False,False,0,Initial,cbe45e35-0b44-49ff-bdaa-6138d32caf49,0.03,0,[],0.0,1.0,0,False,ADX_Override (75.3),1.0,4108.82,2025-10-14 13:22:00,1.0109999999995125,3.0329999999985375,Candlestick Reversal
BUY,4132.545,4127.31058811277,4142.38682377446,0.06,4142.38682377446,,2025-10-14 15:01:00,closed,False,False,0,Initial,f83c0eaa-ce92-489c-9fe0-107a7735fc5f,0.06,0,[],0.0,1.0,0,False,ADX_Override (54.7),1.0,4141.236,2025-10-14 15:14:00,8.59099999999944,51.54599999999664,Candlestick Reversal
BUY,4142.454,4137.893529930821,4162.860940138358,0.07,4162.860940138358,,2025-10-14 17:01:00,closed,False,False,0,Initial,ed728475-4156-422b-9927-a1d75bb7ab14,0.07,0,[],0.0,1.0,0,False,ADX_Override (82.7),1.0,4149.439,2025-10-14 17:09:00,6.885000000000218,48.19500000000153,Candlestick Reversal
BUY,4146.848,4143.848,4149.915784150662,0.11,4149.915784150662,,2025-10-14 17:50:00,closed,False,False,0,Initial,bdffcd95-66f9-41eb-a5df-8e8bc06edbfb,0.11,0,[],0.0,1.0,0,False,ADX_Override (70.1),1.0,4147.679,2025-10-14 18:00:00,0.7309999999997672,8.040999999997439,Candlestick Reversal
BUY,4146.302,4143.302,4149.342379659412,0.11,4149.342379659412,,2025-10-14 18:36:00,closed,False,False,0,Initial,e06e1a85-684b-4f86-a3b7-e2e258338974,0.11,0,[],0.0,1.0,0,False,ADX_Override (55.5),1.0,4148.103,2025-10-14 18:43:00,1.7010000000000218,18.71100000000024,Candlestick Reversal
BUY,4143.479,4140.479,4157.143591082176,0.03,4157.143591082176,,2025-10-14 22:05:00,closed,False,False,0,Initial,36c25c83-e66c-4cd7-adb7-f554d2e81c2d,0.11,0,"[{'tier': 'Tier 1 (at Initial TP)', 'size': 0.03, 'price': 4149.479}]",0.0,1.0,0,False,ADX_Override (67.3),1.0,4149.479,2025-10-14 22:10:00,5.899999999999636,17.69999999999891,Partial Close Tier 1 (at Initial TP)
BUY,4143.479,4143.979,4149.479,0.08,4157.143591082176,,2025-10-14 22:05:00,closed,False,False,0,BE after Tier 1 (at Initial TP),36c25c83-e66c-4cd7-adb7-f554d2e81c2d,0.11,1,"[{'tier': 'Tier 1 (at Initial TP)', 'size': 0.03, 'price': 4149.479}]",0.0,1.0,0,False,ADX_Override (67.3),1.0,4149.479,2025-10-14 22:10:00,5.899999999999636,47.19999999999709,Take Profit
BUY,4196.935,4192.320261215206,4219.916477569588,0.02,4219.916477569588,,2025-10-15 14:00:00,closed,False,False,0,Initial,c28dca58-6739-4cd0-bb88-9b0f4290c599,0.08,0,"[{'tier': 'Tier 1 (at Initial TP)', 'size': 0.02, 'price': 4206.164477569589}]",0.0,1.0,0,False,ADX_Override (77.5),1.0,4206.164477569589,2025-10-15 14:07:00,9.129477569587834,18.25895513917567,Partial Close Tier 1 (at Initial TP)
